Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Question Text- v1,Revised Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Format/Value - r0,Revised Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,Question Type,IMS Review Notes
3994,3994,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
3995,3995,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
3996,3996,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
3997,3997,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,722122662,Did you ever smoke marijuana every day?,,Ever use marijuana  every day,SrvSAS_EverUseMJED_v1r0,SMMAR9B,Num,1,104430631,0 = No,,No,No,,,,,,10/25/21,,
3998,3998,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,
3999,3999,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,556963634,How old were you when you stopped smoking marijuana every day?,,Age stopped using marijuana  every day,SrvSAS_AgeStopMJED_v1r0,SMMAR9D,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4000,4000,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,492742957,"When you were a daily smoker of marijuana, what is the total amount of time you smoked per day?",,Total amount of time used marijuana  per day when daily user,SrvSAS_TotTmMJUseED_v1r0,SMMAR9C,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4001,4001,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4002,4002,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4003,4003,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4004,4004,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4005,4005,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",377064836,Why [do/did] you smoke marijuana?,SMMAR10,,,377064836,Why [do/did] you smoke marijuana?,,Why smoke marijuana,SrvSAS_WhySmokeMJ_v1r0,SMMAR10,Num,2,437269318,0= Recreation,,No,No,,,,,,11/23/21,,
4006,4006,,,,,,,,,,,,,,,,,,838317013,1= As medicine,,,,,,,,,,,
4007,4007,,,,,,,,,,,,,,,,,,585672584,2= Recreation and as medicine,,,,,,,,,,,
4008,4008,,,,,,,,,,,,,,,,,,807835037,55 =  Other |__|,,,,,,,,,,,
4009,4009,,,,,,,,,,,,,,,,,,746038746,99 = Declined,,,,,,,,,,,
4010,4010,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",377064836,Why [do/did] you smoke marijuana?,SMMAR10,,,779642303,Why [do/did] you smoke marijuana? Other: Please describe text box,,Why [do/did] you smoke marijuana - Descriptive,SrvSAS_WhySmokeMJOth_v1r0,SMMAR10OTH,Char,,,N/A,,No,No,,,,,,11/23/21,,
4011,4011,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,258291510,"On days that you smoked marijuana when you were age [X] to age [Y / 17], what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, Age [X] to age [Y / 17]",SrvSAS_TmSmokeMJ17_v1r0,SMMARLIFEA,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4012,4012,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4013,4013,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4014,4014,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4015,4015,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4016,4016,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,175995366,"On days that you smoked marijuana when you were age [X / 18] to age [Y / 24], what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, Age [X / 18] to age [Y / 24]",SrvSAS_TmSmokeMJ1824_v1r0,SMMARLIFEB,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4017,4017,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4018,4018,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4019,4019,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4020,4020,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4021,4021,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,643099118,"On days that you smoked marijuana when you were age [X / 25] to age [Y / 29], what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, [X / 25] to age [Y / 29]",SrvSAS_TmSmokeMJ2529_v1r0,SMMARLIFEC,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4022,4022,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4023,4023,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4024,4024,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4025,4025,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4026,4026,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,864290328,"On days that you smoked marijuana when you were age [X / 30] to age [Y / 39 / current age], what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, [X / 30] to age [Y / 39 / current age]",SrvSAS_TmSmokeMJ3039_v1r0,SMMARLIFED,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4027,4027,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4028,4028,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4029,4029,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4030,4030,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4031,4031,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,386950237,"On days that you smoked marijuana when you were age [X / 40] to age [Y / 49 / current age], what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, [X / 40] to age [Y / 49 / current age]",SrvSAS_TmSmokeMJ4049_v1r0,SMMARLIFEE,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4032,4032,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4033,4033,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4034,4034,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4035,4035,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4036,4036,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,480217113,"On days that you smoked marijuana when you were age [X / 50] to age [Y / 59 / current age], what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, [X / 50] to age [Y / 59 / current age]",SrvSAS_TmSmokeMJ5059_v1r0,SMMARLIFEF,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4037,4037,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4038,4038,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4039,4039,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4040,4040,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4041,4041,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,645361463,"On days that you smoked marijuana when you were age [X / 60] to age [Y / 69 / current age], what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, [X / 60] to age [Y / 69 / current age]",SrvSAS_TmSmokeMJ6069,SMMARLIFEG,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4042,4042,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4043,4043,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4044,4044,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4045,4045,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4046,4046,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,882838859,"On days that you smoked marijuana when you were age [X / 70] and older, what is the total amount of time you smoked per day?",,"How much time marijuana  smoked, [X / 70] and older",SrvSAS_TmSmokeMJ70_v1r0,SMMARLIFEH,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4047,4047,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4048,4048,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4049,4049,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4050,4050,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4051,4051,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,524914900,How many marijuana products with tobacco have you smoked in your  life?,,How many marijana with tobacco prodcuts used in life,SrvSAS_TotTobaccoLife_v1r0,TOMAR1,Num,1,151488193,0= 10 or less,,No,No,,,,,,11/23/21,,
4052,4052,,,,,,,,,,,,,,,,,,805449318,1 = 11 to 49,,,,,,,,,,,
4053,4053,,,,,,,,,,,,,,,,,,486319890,2 = 50 to 99,,,,,,,,,,,
4054,4054,,,,,,,,,,,,,,,,,,132232896,3= 100 or more,,,,,,,,,,,
4055,4055,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,140848765,How old were you when you first smoked a combination of marijuana with tobacco?,,Age first used marijana with tobacco,SrvSAS_AgeUseTobMJF_v1r0,TOMAR2,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4056,4056,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",378254382,Age first used marijana with tobacco on a regular basis,TOMAR3,,,628818510,Age first used marijana with tobacco on a regular basis number,,Age first used marijana with tobacco on a regular basis,SrvSAS_AgeUseTobMJReg_v1r0,REGTOMAR_AGE,Num,2,,N/A,,No,No,,,,,,6/2/22,,Deleted concept ID in column J
4057,4057,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",378254382,Age first used marijana with tobacco on a regular basis,TOMAR3,,,378254382,Age first used marijana with tobacco on a regular basis,,"Age first used marijana with tobacco on a regular basis, Never used",SrvSAS_NeverSmokeReg_v1r0,TOMAR3,Num,2,648960871,44 = Never,,,,,,,,,11/23/21,,
4058,4058,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,891825638,Do you smoke a combination of marijuana with tobacco now?,,Use marijana with tobacco now,SrvSAS_UseTobMJNow_v1r0,TOMAR4,Num,1,419415087,"0 = No, not at all",,No,No,,,,,,11/24/21,,
4059,4059,,,,,,,,,,,,,,,,,,299561721,"1 = Yes, but rarely",,,,,,,,,,,
4060,4060,,,,,,,,,,,,,,,,,,716761013,"2 = Yes, but some days",,,,,,,,,,,
4061,4061,,,,,,,,,,,,,,,,,,804785430,"3 = Yes, every day",,,,,,,,,,,
4062,4062,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,444759994,When was the last time you smoked a combination of marijuana with tobacco?,,Last use marijana with tobacco,SrvSAS_LastUseTobMJ_v1r0,TOMAR5,Num,1,317567178,0=  In the past month,,No,No,,,,,,10/25/21,,
4063,4063,,,,,,,,,,,,,,,,,,484055234,"1= More than a month ago, but in the past year",,,,,,,,,,,
4064,4064,,,,,,,,,,,,,,,,,,802197176,2= More than 1 year ago,,,,,,,,,,,
4065,4065,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,746817928,On how many of the past 30 days have you smoked a combination of marijuana with tobacco?,,Days used marijana with tobacco past 30 days,SrvSAS_DaysUseTobMJ_v1r0,TOMAR6,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4066,4066,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,992757226,How many months ago did you last smoke a combination of marijuana with tobacco?,,Months ago last used marijana with tobacco,SrvSAS_TobMJUseMo_v1r0,TOMAR7A,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4067,4067,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,Yes,,175568583,"Month - During that time, did you ever smoke a combination of marijuana with tobacco every day?",,"Use marijana with tobacco every day, months",SrvSAS_TobMJEDUseMo_v1r0,TOMAR7B,Num,1,104430631,0 = No,,No,No,,,,,,10/24/22,,
4068,4068,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,
4069,4069,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,Yes,,847277590,"Month- During that time, how many days (1 to 30) did you smoke a combination of marijuana with tobacco in a usual month?",,"How many days used marijana with tobacco, usual month",SrvSAS_NumDaysTobMJ_v1r0,TOMAR7C,Num,2,,N/A,,No,No,,,,,,10/24/22,,
4070,4070,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,405178123,How old were you when you last smoked a combination of marijuana with tobacco?,,Age last used marijana with tobacco,SrvSAS_AgeLastUseTobMJ_v1r0,TOMAR8,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4071,4071,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,698314386,"Age last used - During that time, did you smoke a combination of marijuana with tobacco every day?",,"Use marijana with tobacco every day, age last used",SrvSAS_UseTobMJED_v1r0,TOMAR8C,Num,1,104430631,0 = No,,No,No,,,,,,7/28/22,,
4072,4072,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,
4073,4073,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,363377579,"Age last used- During that time, how many days (1 to 30) did you smoke a combination of marijuana with tobacco in a usual month?",,"How many days used marijana with tobacco, age last used",SrvSAS_NumDaysTobMJUse_v1r0,TOMAR8D,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4074,4074,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,964154290,"On days that you [smoke/smoked], how many marijana with tobacco [do/did] you smoke per day? Please provide the number of marijana with tobacco, not the number of packs.",,Number of marijana with tobacco per day,SrvSAS_NumTobMJ_v1r0,TOMAR9A,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4075,4075,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,171050898,Did you ever smoke marijana with tobacco every day?,,Ever use marijana with tobacco every day,SrvSAS_EverUseTobMJED_v1r0,TOMAR9B,Num,1,104430631,0 = No,,No,No,,,,,,10/25/21,,
4076,4076,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,
4077,4077,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,606675249,How old were you when you stopped smoking a combination of marijuana with tobacco every day?,,Age stopped using marijana with tobacco every day,SrvSAS_AgeStopTobMJED_v1r0,TOMAR9D,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4078,4078,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,411960217,"When you were a daily smoker of a combination of marijuana with tobacco, about how many times per day did you smoke a combination of marijuana with tobacco?",,"When daily user, number of marijana with tobacco per day",SrvSAS_NumTobMJPerDay_v1r0,TOMAR9C,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4079,4079,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",755923078,Why [do/did] you smoke a combination of marijuana with tobacco?,TOMAR10,,,755923078,Why [do/did] you smoke a combination of marijuana with tobacco?,,Why smoke marijuana,SrvSAS_WhySmokeTobMJ_v1r0,TOMAR10,Num,2,437269318,0= Recreation,,No,No,,,,,,11/23/21,,
4080,4080,,,,,,,,,,,,,,,,,,838317013,1= As medicine,,,,,,,,,,,
4081,4081,,,,,,,,,,,,,,,,,,585672584,2= Recreation and as medicine,,,,,,,,,,,
4082,4082,,,,,,,,,,,,,,,,,,807835037,55 =  Other |__|,,,,,,,,,,,
4083,4083,,,,,,,,,,,,,,,,,,746038746,99 = Declined,,,,,,,,,,,
4084,4084,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",755923078,Why [do/did] you smoke a combination of marijuana with tobacco?,TOMAR10,,,459020144,Why [do/did] you smoke a combination of marijuana with tobacco? Other: Please describe text box,,Why [do/did] you smoke a combination of marijuana with tobacco - Descriptive,SrvSAS_WhyTobMJOth_v1r0,TOMAR10OTH,Char,,,,,No,No,,,,,,11/23/21,,
4085,4085,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,381268397,"On days that you smoked when you were age [X] to age [Y / 17], about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, Age [X] to age [Y / 17]",SrvSAS_TmUseTobMJ17_v1r0,TOMARLIFEA,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4086,4086,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,723763329,"On days that you smoked when you were age [X / 18] to age [Y / 24], about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, Age [X / 18] to age [Y / 24]",SrvSAS_TmUseTobMJ1824_v1r0,TOMARLIFEB,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4087,4087,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,724990284,"On days that you smoked when you were age [X / 25] to age [Y / 29], about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, [X / 25] to age [Y / 29]",SrvSAS_TmUseTobMJ2529_v1r0,TOMARLIFEC,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4088,4088,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,383748300,"On days that you smoked when you were age [X / 30] to age [Y / 39 / current age], about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, [X / 30] to age [Y / 39 / current age]",SrvSAS_TmUseTobMJ3039_v1r0,TOMARLIFED,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4089,4089,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,199612020,"On days that you smoked when you were age [X / 40] to age [Y / 49 / current age], about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, [X / 40] to age [Y / 49 / current age]",SrvSAS_TmUseTobMJ4049_v1r0,TOMARLIFEE,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4090,4090,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,755298453,"On days that you smoked when you were age [X / 50] to age [Y / 59 / current age], about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, [X / 50] to age [Y / 59 / current age]",SrvSAS_TmUseTobMJ5059_v1r0,TOMARLIFEF,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4091,4091,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,777877159,"On days that you smoked when you were age [X / 60] to age [Y / 69 / current age], about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, [X / 60] to age [Y / 69 / current age]",SrvSAS_TmUseTobMJ6069_v1r0,TOMARLIFEG,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4092,4092,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,680697711,"On days that you smoked when you were age [X / 70] and older, about how many times did you smoke a combination of marijuana with tobacco per day?",,"How many times marijana with tobacco used, [X / 70] and older",SrvSAS_TmUseTobMJ70_v1r0,TOMARLIFEH,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4093,4093,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,325229459,How many days have you used an electronic delivery device for vaping marijuana in your life?,,How many days used electronic marijuana delivery devices used in life,SrvSAS_DaysUseEMJDev_v1r0,ELMAR1,Num,1,151488193,0= 10 or less,,No,No,,,,,,11/23/21,,
4094,4094,,,,,,,,,,,,,,,,,,805449318,1 = 11 to 49,,,,,,,,,,,
4095,4095,,,,,,,,,,,,,,,,,,486319890,2 = 50 to 99,,,,,,,,,,,
4096,4096,,,,,,,,,,,,,,,,,,132232896,3= 100 or more,,,,,,,,,,,
4097,4097,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,116510981,How old were you when you first used an electronic delivery device for vaping marijuana?,,Age first used electronic marijuana delivery devices,SrvSAS_AgeUseEMJDevF_v1r0,ELMAR2,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4098,4098,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",942945860,Age first used electronic marijuana delivery devices on a regular basis,ELMAR3,,,742716427,Age first used electronic marijuana delivery devices on a regular basis number,,Age first used electronic marijuana delivery devices on a regular basis,SrvSAS_AgeEMJDevReg_v1r0,REGELMAR_AGE,Num,2,,N/A,,No,No,,,,,,6/2/22,,Deleted concept ID in column J
4099,4099,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",942945860,Age first used electronic marijuana delivery devices on a regular basis,ELMAR3,,,942945860,Age first used electronic marijuana delivery devices on a regular basis,,"Age first used electronic marijuana delivery devices on a regular basis, Never used",SrvSAS_NeverEMJDev_v1r0,ELMAR3,Num,2,648960871,44 = Never,,,,,,,,,3/7/22,,
4100,4100,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,521073718,Do you use electronic marijuana delivery devices for vaping now?,,Use electronic marijuana delivery devices now,SrvSAS_UseEMJDevNow_v1r0,ELMAR4,Num,1,419415087,"0 = No, not at all",,No,No,,,,,,11/24/21,,
4101,4101,,,,,,,,,,,,,,,,,,299561721,"1 = Yes, but rarely",,,,,,,,,,,
4102,4102,,,,,,,,,,,,,,,,,,716761013,"2 = Yes, but some days",,,,,,,,,,,
4103,4103,,,,,,,,,,,,,,,,,,804785430,"3 = Yes, every day",,,,,,,,,,,
4104,4104,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,859228803,When was the last time you used electronic marijuana delivery devices that can be vaped?,,Last used electronic marijuana delivery devices,SrvSAS_UseEMJDevL_v1r0,ELMAR5,Num,1,317567178,0=  In the past month,,No,No,,,,,,10/25/21,,
4105,4105,,,,,,,,,,,,,,,,,,484055234,"1= More than a month ago, but in the past year",,,,,,,,,,,
4106,4106,,,,,,,,,,,,,,,,,,802197176,2= More than 1 year ago,,,,,,,,,,,
4107,4107,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,589885595,On how many of the past 30 days have you used electronic marijuana delivery devices that can be vaped?,,Days used electronic marijuana delivery devices past 30 days,SrvSAS_UseEMJDev30_v1r0,ELMAR6,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4108,4108,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,659140794,How many months ago did you last use electronic marijuana delivery devices that can be vaped?,,Months ago last used electronic marijuana delivery devices,SrvSAS_UseEMJDevMo_v1r0,ELMAR7A,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4109,4109,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,Yes,,694261722,"Month - During that time, did you ever use electronic marijuana delivery devices that can be vaped every day?",,"Use electronic marijuana delivery devices every day, months",SrvSAS_UseEMJDevED_v1r0,ELMAR7B,Num,1,104430631,0 = No,,No,No,,,,,,10/24/22,,
4110,4110,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,
4111,4111,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,Yes,,592957464,"Month- During that time, how many days (1 to 30) did you use electronic marijuana delivery devices that can be vaped in a usual month?",,"How many days used electronic marijuana delivery devices, usual month",SrvSAS_UseEMJDevDays_v1r0,ELMAR7C,Num,2,,N/A,,No,No,,,,,,10/24/22,,
4112,4112,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,445187084,How old were you when you last used electronic marijuana delivery devices that can be vaped?,,Age last used electronic marijuana delivery devices,SrvSAS_AgeUseEMJDevL_v1r0,ELMAR8,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4113,4113,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,142164107,"Age last used - During that time, did you use electronic marijuana delivery devices every day?",,"Use electronic marijuana delivery devices every day, age last used",SrvSAS_UseEMJDevEDL_v1r0,ELMAR8C,Num,1,104430631,0 = No,,No,No,,,,,,7/28/22,,
4114,4114,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,
4115,4115,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,695423703,"During that time, how many days (1 to 30) did you use electronic marijuana delivery devices that can be vaped in a usual month",,"How many days used  electronic marijuana delivery devices, age last used",SrvSAS_UseEMJDevDayNum_v1r0,ELMAR8D,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4116,4116,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,816891201,"On days that you [use/used] electronic marijuana delivery devices that can be vaped, what is the total amount of time you [vape/vaped] per day?",,Total amount of time used electronic marijuana delivery devices per day,SrvSAS_TotTmUsedEMJDev_v1r0,ELMAR9A,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4117,4117,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4118,4118,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4119,4119,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4120,4120,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
4121,4121,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,177252178,Did you ever use electronic marijuana delivery devices that can be vaped every day?,,Ever use electronic marijuana delivery devices every day,SrvSAS_EMJDevEveryDay_v1r0,ELMAR9B,Num,1,104430631,0 = No,,No,No,,,,,,10/25/21,,
4122,4122,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,
4123,4123,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,116014097,How old were you when you stopped using electronic marijuana delivery devices that be vaped every day?,,Age stopped using electronic marijuana delivery devices every day,SrvSAS_AgeStopEMJDev_v1r0,ELMAR9D,Num,2,,N/A,,No,No,,,,,,12/6/21,,
4124,4124,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,,562595294,"When you were a daily user of electronic marijuana delivery devices that can be vaped, what is the total amount of time you vaped per day?",,Total amount of time used electronic marijuana delivery devices per day when daily user,SrvSAS_TotTmEMJDaily_v1r0,ELMAR9C,Num,1,428999623,0= 15 minutes or less,,No,No,,,,,,2/28/22,,
4125,4125,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,
4126,4126,,,,,,,,,,,,,,,,,,998679771,2 = 31 to 59 minutes,,,,,,,,,,,
4127,4127,,,,,,,,,,,,,,,,,,638092100,3 = 1 hour,,,,,,,,,,,
4128,4128,,,,,,,,,,,,,,,,,,127455035,4 = 2 hours or more,,,,,,,,,,,
