Formula for Index,Formula for Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
4167,4167,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4168,4168,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4169,4169,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4170,4170,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4171,4171,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,429531329,"On the days that you did these moderate outdoor chores (such as weeding, raking, or mowing the lawn) outside of work, about how much time per day did you spend doing these chores?",,Time/Day - Mod Outdoor Chores,SrvMRE_ModChoreTime_v1r0,LAWN4A,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if LAWN1=0,,,,,2/28/22,,,
4172,4172,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4173,4173,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4174,4174,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4175,4175,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4176,4176,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4177,4177,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4178,4178,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,888313306,"During the season[s] in the past 12 months that you did vigorous outdoor chores (such as digging, carrying lumber, or snow shoveling), about how often did you do these chores outside of work?",,# Days - Vigorous Outdoor Chores,SrvMRE_VigChoreOften_v1r0,LAWN3B,Num,2,239152340,0 = Once a month or less,,No,No,Only display if LAWN1=1,,,,,11/15/21,,,
4179,4179,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4180,4180,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4181,4181,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4182,4182,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4183,4183,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4184,4184,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,644018981,"On the days that you did these vigorous outdoor chores (such as digging, carrying lumber, or snow shoveling) outside of work, about how much time per day did you spend doing these chores?",,Time/Day - Vigorous Outdoor Chores,SrvMRE_VigChoreTime_v1r0,LAWN4B,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if LAWN1=1,,,,,2/28/22,,,
4185,4185,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4186,4186,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4187,4187,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4188,4188,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4189,4189,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4190,4190,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4191,4191,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,352531133,"During the season[s] in the past 12 months that you did home repairs (such as painting, plumbing, or replacing carpeting), about how often did you do these chores outside of work?",,# Days - Home Repairs,SrvMRE_HRepairOften_v1r0,LAWN3C,Num,2,239152340,0 = Once a month or less,,No,No,Only display if LAWN1=2,,,,,11/15/21,,,
4192,4192,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4193,4193,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4194,4194,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4195,4195,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4196,4196,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4197,4197,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,267261558,"On the days that you did these home repairs (such as painting, plumbing, or replacing carpeting) outside of work, about how much time per day did you spend doing these chores?",,Time/Day - Home Repairs,SrvMRE_HRepairHome_v1r0,LAWN4C,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if LAWN1=2,,,,,2/28/22,,,
4198,4198,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4199,4199,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4200,4200,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4201,4201,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4202,4202,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4203,4203,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4204,4204,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,904954920,Walk or hike for exercise,,Walk/Hike,SrvMRE_WalkHike_v1r0,0,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4205,4205,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4206,4206,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,619501806,Jog or run,,Jog/Run,SrvMRE_JogRun_v1r0,1,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4207,4207,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4208,4208,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,203192394,"Play tennis, squash, or racquetball",,Tennis/Squash/Racquetball,SrvMRE_Tennis_v1r0,2,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4209,4209,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4210,4210,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,261267696,Play golf,,Golf,SrvMRE_PlayGolf_v1r0,3,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4211,4211,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4212,4212,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,926584500,Swim laps,,Swim Laps,SrvMRE_SwimLaps_v1r0,4,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4213,4213,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4214,4214,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,420058896,Ride a bicycle (including a stationary bike,,Bike Riding,SrvMRE_BikeRide_v1r0,5,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4215,4215,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4216,4216,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,868685663,"Strengthening exercises such as weightlifting, using weight machines, or calisthenics (such as sit-ups or push-ups)",,Strength Exercises/Calisthenics,SrvMRE_Strengthening_v1r0,6,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4217,4217,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4218,4218,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,760484278,"Yoga, Pilates, or Tai Chi",,Yoga/Pilates/Tai Chi,SrvMRE_Yoga_v1r0,7,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4219,4219,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4220,4220,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,345916806,Martial Arts (such as Karate or Judo),,Martial Arts,SrvMRE_MartialArts_v1r0,8,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4221,4221,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4222,4222,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,936042582,Dance,,Dance,SrvMRE_Dance_v1r0,9,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4223,4223,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4224,4224,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,182827107,Downhill ski or snowboard,,Downhill Ski/Snowboard,SrvMRE_DownhillSki_v1r0,10,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4225,4225,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4226,4226,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,734860227,Cross-country ski,,Cross-country Ski,SrvMRE_CrossCountry_v1r0,11,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4227,4227,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4228,4228,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,371531887,Surf or bodyboard,,Surf/Bodyboard,SrvMRE_Surf_v1r0,12,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4229,4229,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4230,4230,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,423631576,High-intensity circuit training (such P90x or Crossfit),,High-intensity Circuit Training,SrvMRE_HICT_v1r0,13,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4231,4231,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4232,4232,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,181769837,Other,,Oth Exercise,SrvMRE_OtherExercise_v1r0,55,Num,2,104430631,0 = No,,No,No,,,,,,,,,
4233,4233,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4234,4234,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,EXEREC1,,,535003378,None of the above,,None,SrvMRE_NoExercise_v1r0,88,Num,2,104430631,0 = No,,No,No,,,,,,10/8/21,,,
4235,4235,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
4236,4236,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,267122668,"During the season[s] in the past 12 months that you walked or hiked for exercise, about how often did you do this activity?",,Last 12 Mons - Walk/Hike,SrvMRE_WalkHikeOften_v1r0,EXEREC3A,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=0,,,,,11/15/21,,,
4237,4237,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4238,4238,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4239,4239,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4240,4240,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4241,4241,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4242,4242,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,901660173,"On the days that you walked or hiked for exercise, about how much time per day did you spend doing this activity?",,Time/Day - Walk/Hike,SrvMRE_WalkHikeTime_v1r0,EXEREC4A,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=0,,,,,2/28/22,,,
4243,4243,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4244,4244,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4245,4245,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4246,4246,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4247,4247,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4248,4248,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4249,4249,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,953510929,"During the season[s] in the past 12 months that you went jogging or running, about how often did you do this activity?",,Last 12 Mons - Jog/Run,SrvMRE_JogRunOften_v1r0,EXEREC3B,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=1,,,,,11/15/21,,,
4250,4250,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4251,4251,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4252,4252,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4253,4253,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4254,4254,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4255,4255,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,422260069,"On the days that you went jogging or running, about how much time per day did you spend doing this activity?",,Time/Day - Jog/Run,SrvMRE_JogRunTime_v1r0,EXEREC4B,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=1,,,,,2/28/22,,,
4256,4256,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4257,4257,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4258,4258,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4259,4259,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4260,4260,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4261,4261,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4262,4262,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,411788467,"During the season[s] in the past 12 months that you played tennis, squash, or racquetball, about how often did you do this activity?",,Last 12 Mons - Tennis/Squash/Racquetball,SrvMRE_TennisOften_v1r0,EXEREC3C,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=2,,,,,11/15/21,,,
4263,4263,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4264,4264,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4265,4265,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4266,4266,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4267,4267,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4268,4268,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,141251197,"On the days that you played tennis, squash, or racquetball, about how much time per day did you spend doing this activity?",,Time/Day - Tennis/Squash/Racquetball,SrvMRE_TennisTime_v1r0,EXEREC4C,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=2,,,,,2/28/22,,,
4269,4269,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4270,4270,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4271,4271,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4272,4272,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4273,4273,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4274,4274,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4275,4275,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,184448791,"During the season[s] in the past 12 months that you played golf, about how often did you do this activity?",,Last 12 Mons - Golf,SrvMRE_GolfOften_v1r0,EXEREC3D,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=3,,,,,11/15/21,,,
4276,4276,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4277,4277,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4278,4278,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4279,4279,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4280,4280,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4281,4281,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,768302347,"On the days that you played golf, about how much time per day did you spend doing this activity?",,Time/Day - Golf,SrvMRE_GolfTime_v1r0,EXEREC4D,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=3,,,,,2/28/22,,,
4282,4282,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4283,4283,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4284,4284,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4285,4285,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4286,4286,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4287,4287,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4288,4288,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,944699052,"During the season[s] in the past 12 months that you swam laps, about how often did you do this activity?",,Last 12 Mons - Swam Laps,SrvMRE_SwimLapsOften_v1r0,EXEREC3E,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=4,,,,,11/15/21,,,
4289,4289,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4290,4290,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4291,4291,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4292,4292,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4293,4293,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4294,4294,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,658018390,"On the days that you swam laps, about how much time per day did you spend doing this activity?",,Time/Day - Swam Laps,SrvMRE_SwimLapsTime_v1r0,EXEREC4E,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=4,,,,,2/28/22,,,
4295,4295,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4296,4296,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4297,4297,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4298,4298,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4299,4299,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4300,4300,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4301,4301,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,849399881,"During the season[s] in the past 12 months that you rode a bicycle (including a stationary bike), about how often did you do this activity?",,Last 12 Mons - Bike Riding,SrvMRE_BikeOften_v1r0,EXEREC3F,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=5,,,,,11/15/21,,,
4302,4302,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4303,4303,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4304,4304,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4305,4305,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4306,4306,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4307,4307,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,406846149,"On the days that you rode a bicycle (including a stationary bike), about how much time per day did you spend doing this activity?",,Time/Day - Bike Riding,SrvMRE_BikeTime_v1r0,EXEREC4F,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=5,,,,,2/28/22,,,
4308,4308,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4309,4309,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4310,4310,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4311,4311,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4312,4312,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4313,4313,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4314,4314,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,689956879,"During the season[s] in the past 12 months that you did strengthening exercises such as weightlifting, using weight machines, or calisthenics (such as sit-ups or push-ups), about how often did you do this activity?",,Last 12 Mons - Strength Exercises/Calisthenics,SrvMRE_StrengthOften_v1r0,EXEREC3G,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=6,,,,,11/15/21,,,
4315,4315,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4316,4316,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4317,4317,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4318,4318,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4319,4319,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4320,4320,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,725713485,"On the days that you did strengthening exercises such as weightlifting, using weight machines, or calisthenics (such as sit-ups or push-ups), about how much time per day did you spend doing this activity?",,Time/Day - Strength Exercises/Calisthenics,SrvMRE_StrengthTime_v1r0,EXEREC4G,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=6,,,,,2/28/22,,,
4321,4321,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4322,4322,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4323,4323,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4324,4324,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4325,4325,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4326,4326,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
4327,4327,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,255761998,"During the season[s] in the past 12 months that you did Yoga, Pilates, or Tai Chi, about how often did you do this activity?",,Last 12 Mons - Yoga/Pilates/Tai Chi,SrvMRE_YogaOften_v1r0,EXEREC3H,Num,2,239152340,0 = Once a month or less,,No,No,Only display if EXEREC1=7,,,,,11/15/21,,,
4328,4328,,,,,,,,,,,,,,,,,,,582006876,1 = 2 to 3 days per month,,,,,,,,,,,,
4329,4329,,,,,,,,,,,,,,,,,,,645894551,2 = 1 to 2 days per week,,,,,,,,,,,,
4330,4330,,,,,,,,,,,,,,,,,,,996315715,3 = 3 to 4 days per week,,,,,,,,,,,,
4331,4331,,,,,,,,,,,,,,,,,,,671267928,4 = 5 to 6 days per week,,,,,,,,,,,,
4332,4332,,,,,,,,,,,,,,,,,,,647504893,5 = Every day,,,,,,,,,,,,
4333,4333,129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,,,,,571361258,"On the days that you did Yoga, Pilates, or Tai Chi, about how much time per day did you spend doing this activity?",,Time/Day - Yoga/Pilates/Tai Chi,SrvMRE_YogaTime_v1r0,EXEREC4H,Num,2,428999623,0 = 15 minutes or less,,No,No,Only display if EXEREC1=7,,,,,2/28/22,,,
4334,4334,,,,,,,,,,,,,,,,,,,248303092,1 = 16 to 30 minutes,,,,,,,,,,,,
4335,4335,,,,,,,,,,,,,,,,,,,206020811,2 = 31 to 44 minutes,,,,,,,,,,,,
4336,4336,,,,,,,,,,,,,,,,,,,264163865,3 = 45 to 59 minutes,,,,,,,,,,,,
4337,4337,,,,,,,,,,,,,,,,,,,638092100,4 = 1 hour,,,,,,,,,,,,
4338,4338,,,,,,,,,,,,,,,,,,,628177728,5 = 2 hours,,,,,,,,,,,,
4339,4339,,,,,,,,,,,,,,,,,,,805918496,6 = 3 hours or more,,,,,,,,,,,,
