conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked marijuana when you were age [X / 30] to age [Y / 39 / current age], what is the total amount of time you smoked per day?  ","How much time marijuana  smoked, [X / 30] to age [Y / 39 / current age]",SrvSAS_TmSmokeMJ3039_v1r0,SMMARLIFED,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked marijuana when you were age [X / 40] to age [Y / 49 / current age], what is the total amount of time you smoked per day?  ","How much time marijuana  smoked, [X / 40] to age [Y / 49 / current age]",SrvSAS_TmSmokeMJ4049_v1r0,SMMARLIFEE,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked marijuana when you were age [X / 50] to age [Y / 59 / current age], what is the total amount of time you smoked per day?  ","How much time marijuana  smoked, [X / 50] to age [Y / 59 / current age]",SrvSAS_TmSmokeMJ5059_v1r0,SMMARLIFEF,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked marijuana when you were age [X / 60] to age [Y / 69 / current age], what is the total amount of time you smoked per day?  ","How much time marijuana  smoked, [X / 60] to age [Y / 69 / current age]",SrvSAS_TmSmokeMJ6069,SMMARLIFEG,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked marijuana when you were age [X / 70] and older, what is the total amount of time you smoked per day?  ","How much time marijuana  smoked, [X / 70] and older",SrvSAS_TmSmokeMJ70_v1r0,SMMARLIFEH,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many marijuana products with tobacco have you smoked in your  life? ,How many marijana with tobacco prodcuts used in life,SrvSAS_TotTobaccoLife_v1r0,TOMAR1,Num,1,,0= 10 or less,,1= 10 or less,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = 11 to 49,,2= 11—49 ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 50 to 99,,3= 50—99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 100 or more,,4= 100 or more,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you first smoked a combination of marijuana with tobacco?,Age first used marijana with tobacco,SrvSAS_AgeUseTobMJF_v1r0,TOMAR2,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used marijana with tobacco on a regular basis,,Age started using on regular basis,Age first used marijana with tobacco on a regular basis,SrvSAS_AgeUseTobMJReg_v1r0,REGTOMAR_AGE,Num,2,,N/A,,N/A,No,No,,,,,,10/29/21,,TOMAR3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used marijana with tobacco on a regular basis,,Age first used marijana with tobacco on a regular basis,"Age first used marijana with tobacco on a regular basis, Never used",SrvSAS_NeverSmokeReg_v1r0,TOMAR3,Num,2,,44 = Never,,,,,,,,,,11/23/21,,TOMAR3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Do you smoke a combination of marijuana with tobacco now? ,Use marijana with tobacco now,SrvSAS_UseTobMJNow_v1r0,TOMAR4,Num,1,,"0 = No, not at all ",,"1= Yes, every day",No,No,,,,,,11/24/21,,,,
,,,,,,,,,,,,,,"1 = Yes, but rarely",,"2= Yes, some days",,,,,,,,,,,,
,,,,,,,,,,,,,,"2 = Yes, but some days",,"3= Yes, but rarely ",,,,,,,,,,,,
,,,,,,,,,,,,,,"3 = Yes, every day",,"4= No, not at all",,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,When was the last time you smoked a combination of marijuana with tobacco?,Last use marijana with tobacco,SrvSAS_LastUseTobMJ_v1r0,TOMAR5,Num,1,,0=  In the past month ,,1=  In the past month ,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,"1= More than a month ago, but in the past year",,"2= More than a month ago, but in the past year",,,,,,,,,,,,
,,,,,,,,,,,,,,2= More than 1 year ago ,,3= More than 1 year ago ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,On how many of the past 30 days have you smoked a combination of marijuana with tobacco? ,Days used marijana with tobacco past 30 days,SrvSAS_DaysUseTobMJ_v1r0,TOMAR6,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many months ago did you last smoke a combination of marijuana with tobacco? ,Months ago last used marijana with tobacco,SrvSAS_TobMJUseMo_v1r0,TOMAR7A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month - During that time, did you ever smoke a combination of marijuana with tobacco every day?","Use marijana with tobacco every day, months",SrvSAS_TobMJEDUseMo_v1r0,TOMAR7B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month- During that time, how many days (1 to 30) did you smoke a combination of marijuana with tobacco in a usual month? ","How many days used marijana with tobacco, usual month",SrvSAS_NumDaysTobMJ_v1r0,TOMAR7C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you last smoked a combination of marijuana with tobacco?,Age last used marijana with tobacco,SrvSAS_AgeLastUseTobMJ_v1r0,TOMAR8,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used - During that time, did you ever smoke a combination of marijuana with tobacco every day?","Use marijana with tobacco every day, age last used",SrvSAS_UseTobMJED_v1r0,TOMAR8C,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used- During that time, how many days (1 to 30) did you smoke a combination of marijuana with tobacco in a usual month? ","How many days used marijana with tobacco, age last used",SrvSAS_NumDaysTobMJUse_v1r0,TOMAR8D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you [smoke/smoked], how many marijana with tobacco [do/did] you smoke per day? Please provide the number of marijana with tobacco, not the number of packs.  ",Number of marijana with tobacco per day,SrvSAS_NumTobMJ_v1r0,TOMAR9A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Did you ever smoke marijana with tobacco every day? ,Ever use marijana with tobacco every day,SrvSAS_EverUseTobMJED_v1r0,TOMAR9B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you stopped smoking a combination of marijuana with tobacco every day?         ,Age stopped using marijana with tobacco every day,SrvSAS_AgeStopTobMJED_v1r0,TOMAR9D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"When you were a daily smoker of a combination of marijuana with tobacco, about how many times per day did you smoke a combination of marijuana with tobacco?","When daily user, number of marijana with tobacco per day",SrvSAS_NumTobMJPerDay_v1r0,TOMAR9C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why [do/did] you smoke a combination of marijuana with tobacco? ,,Why [do/did] you smoke a combination of marijuana with tobacco? ,Why smoke marijuana,SrvSAS_WhySmokeTobMJ_v1r0,TOMAR10,Num,2,,0= Recreation,,1= Recreation,No,No,,,,,,11/23/21,,TOMAR10,,
,,,,,,,,,,,,,,1= As medicine,,2= As medicine,,,,,,,,,,,,
,,,,,,,,,,,,,,2= Recreation and as medicine,,3= Recreation and as medicine,,,,,,,,,,,,
,,,,,,,,,,,,,,55 =  Other |__|,,4= Other: Please describe,,,,,,,,,,,,
,,,,,,,,,,,,,,99 = Declined,,5= Prefer not to answer,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why [do/did] you smoke a combination of marijuana with tobacco? ,,Why [do/did] you smoke a combination of marijuana with tobacco? Other: Please describe text box,Why [do/did] you smoke a combination of marijuana with tobacco - Descriptive,SrvSAS_WhyTobMJOth_v1r0,TOMAR10OTH,Char,,,,,N/A,No,No,,,,,,11/23/21,,TOMAR10,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X] to age [Y / 17], about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, Age [X] to age [Y / 17]",SrvSAS_TmUseTobMJ17_v1r0,TOMARLIFEA ,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 18] to age [Y / 24], about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, Age [X / 18] to age [Y / 24]",SrvSAS_TmUseTobMJ1824_v1r0,TOMARLIFEB,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 25] to age [Y / 29], about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, [X / 25] to age [Y / 29]",SrvSAS_TmUseTobMJ2529_v1r0,TOMARLIFEC,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 30] to age [Y / 39 / current age], about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, [X / 30] to age [Y / 39 / current age]",SrvSAS_TmUseTobMJ3039_v1r0,TOMARLIFED,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 40] to age [Y / 49 / current age], about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, [X / 40] to age [Y / 49 / current age]",SrvSAS_TmUseTobMJ4049_v1r0,TOMARLIFEE,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 50] to age [Y / 59 / current age], about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, [X / 50] to age [Y / 59 / current age]",SrvSAS_TmUseTobMJ5059_v1r0,TOMARLIFEF,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 60] to age [Y / 69 / current age], about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, [X / 60] to age [Y / 69 / current age]",SrvSAS_TmUseTobMJ6069_v1r0,TOMARLIFEG,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 70] and older, about how many times did you smoke a combination of marijuana with tobacco per day? ","How many times marijana with tobacco used, [X / 70] and older",SrvSAS_TmUseTobMJ70_v1r0,TOMARLIFEH,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many days have you used an electronic delivery device for vaping marijuana in your life?,How many days used electronic marijuana delivery devices used in life,SrvSAS_DaysUseEMJDev_v1r0,ELMAR1,Num,1,,0= 10 or less,,1= 10 or less,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = 11 to 49,,2= 11—49 ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 50 to 99,,3= 50—99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 100 or more,,4= 100 or more,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you first used an electronic delivery device for vaping marijuana?,Age first used electronic marijuana delivery devices,SrvSAS_AgeUseEMJDevF_v1r0,ELMAR2,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used electronic marijuana delivery devices on a regular basis,,Age started using on regular basis,Age first used electronic marijuana delivery devices on a regular basis,SrvSAS_AgeEMJDevReg_v1r0,REGELMAR_AGE ,Num,2,,N/A,,N/A,No,No,,,,,,3/7/22,,ELMAR3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used electronic marijuana delivery devices on a regular basis,,Age first used electronic marijuana delivery devices on a regular basis,"Age first used electronic marijuana delivery devices on a regular basis, Never used",SrvSAS_NeverEMJDev_v1r0,ELMAR3,Num,2,,44 = Never,,,,,,,,,,3/7/22,,ELMAR3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Do you use electronic marijuana delivery devices for vaping now? ,Use electronic marijuana delivery devices now,SrvSAS_UseEMJDevNow_v1r0,ELMAR4,Num,1,,"0 = No, not at all ",,"1= Yes, every day",No,No,,,,,,11/24/21,,,,
,,,,,,,,,,,,,,"1 = Yes, but rarely",,"2= Yes, some day",,,,,,,,,,,,
,,,,,,,,,,,,,,"2 = Yes, but some days",,"3= Yes, but rarely ",,,,,,,,,,,,
,,,,,,,,,,,,,,"3 = Yes, every day",,"4= No, not at all",,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,When was the last time you used electronic marijuana delivery devices that can be vaped?,Last used electronic marijuana delivery devices,SrvSAS_UseEMJDevL_v1r0,ELMAR5,Num,1,,0=  In the past month ,,1=  In the past month ,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,"1= More than a month ago, but in the past year",,"2= More than a month ago, but in the past year",,,,,,,,,,,,
,,,,,,,,,,,,,,2= More than 1 year ago ,,3= More than 1 year ago ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,On how many of the past 30 days have you used electronic marijuana delivery devices that can be vaped? ,Days used electronic marijuana delivery devices past 30 days,SrvSAS_UseEMJDev30_v1r0,ELMAR6,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many months ago did you last use electronic marijuana delivery devices that can be vaped? ,Months ago last used electronic marijuana delivery devices,SrvSAS_UseEMJDevMo_v1r0,ELMAR7A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month - During that time, did you ever use electronic marijuana delivery devices that can be vaped every day?","Use electronic marijuana delivery devices every day, months",SrvSAS_UseEMJDevED_v1r0,ELMAR7B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month- During that time, how many days (1 to 30) did you use electronic marijuana delivery devices that can be vaped in a usual month? ","How many days used electronic marijuana delivery devices, usual month",SrvSAS_UseEMJDevDays_v1r0,ELMAR7C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you last used electronic marijuana delivery devices that can be vaped?,Age last used electronic marijuana delivery devices,SrvSAS_AgeUseEMJDevL_v1r0,ELMAR8,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used - During that time, did you ever use electronic marijuana delivery devices every day?","Use electronic marijuana delivery devices every day, age last used",SrvSAS_UseEMJDevEDL_v1r0,ELMAR8C,Num,1,,0 = No,,1 = No,No,No,,,,,,3/7/22,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"During that time, how many days (1 to 30) did you use electronic marijuana delivery devices that can be vaped in a usual month","How many days used  electronic marijuana delivery devices, age last used",SrvSAS_UseEMJDevDayNum_v1r0,ELMAR8D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you [use/used] electronic marijuana delivery devices that can be vaped, what is the total amount of time you [vape/vaped] per day?",Total amount of time used electronic marijuana delivery devices per day,SrvSAS_TotTmUsedEMJDev_v1r0,ELMAR9A,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Did you ever use electronic marijuana delivery devices that can be vaped every day? ,Ever use electronic marijuana delivery devices every day,SrvSAS_EMJDevEveryDay_v1r0,ELMAR9B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you stopped using electronic marijuana delivery devices that be vaped every day?,Age stopped using electronic marijuana delivery devices every day,SrvSAS_AgeStopEMJDev_v1r0,ELMAR9D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"When you were a daily user of electronic marijuana delivery devices that can be vaped, what is the total amount of time you vaped per day?",Total amount of time used electronic marijuana delivery devices per day when daily user,SrvSAS_TotTmEMJDaily_v1r0,ELMAR9C,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why [do/did] you use electronic marijuana delivery devices that can be vaped?,,Why [do/did] you use electronic marijuana delivery devices that can be vaped?,Why use electronic marijuana delivery devices that can be vaped,SrvSAS_WhyUseEMJDev_v1r0,ELMAR10,Num,2,,0= Recreation,,1= Recreation,No,No,,,,,,11/23/21,,ELMAR10,,
,,,,,,,,,,,,,,1= As medicine,,2= As medicine,,,,,,,,,,,,
,,,,,,,,,,,,,,2= Recreation and as medicine,,3= Recreation and as medicine,,,,,,,,,,,,
,,,,,,,,,,,,,,55 =  Other |__|,,4= Other: Please describe,,,,,,,,,,,,
,,,,,,,,,,,,,,99 = Declined,,5= Prefer not to answer,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why [do/did] you use electronic marijuana delivery devices that can be vaped?,,Why [do/did] you use electronic marijuana delivery devices that can be vaped? Other: Please describe text box,Why [do/did] you use electronic marijuana delivery devices that can be vaped - Descriptive,SrvSAS_WhyUseEMJDevOth_v1r0,ELMAR10OTH,Char,,,N/A,,N/A,No,No,,,,,,11/23/21,,ELMAR10,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used electronic marijuana delivery devices or tobacco when you were age [X] to age [Y / 17], what is the total amount of time you used them per day?  ","How much time electronic marijuana delivery devices used, Age [X] to age [Y / 17]",SrvSAS_EMJDevTm17_v1r0,ELMARLIFEA,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used electronic marijuana delivery devices or tobacco when you were age [X / 18] to age [Y / 24], what is the total amount of time you used them per day?  ","How much time electronic marijuana delivery devices used, Age [X / 18] to age [Y / 24]",SrvSAS_EMJDevTm1824_v1r0,ELMARLIFEB,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used electronic marijuana delivery devices or tobacco when you were age [X / 25] to age [Y / 29], what is the total amount of time you used them per day?  ","How much time electronic marijuana delivery devices used, [X / 25] to age [Y / 29]",SrvSAS_EMJDevTm2529_v1r0,ELMARLIFEC,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used electronic marijuana delivery devices or tobacco when you were age [X / 30] to age [Y / 39 / current age], what is the total amount of time you used them per day?  ","How much time electronic marijuana delivery devices used, [X / 30] to age [Y / 39 / current age]",SrvSAS_EMJDev3039_v1r0,ELMARLIFED,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used electronic marijuana delivery devices or tobacco when you were age [X / 40] to age [Y / 49 / current age], what is the total amount of time you used them per day?  ","How much time electronic marijuana delivery devices used, [X / 40] to age [Y / 49 / current age]",SrvSAS_EMJDev4049_v1r0,ELMARLIFEE,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used electronic marijuana delivery devices or tobacco when you were age [X / 50] to age [Y / 59 / current age], what is the total amount of time you used them per day?  ","How much time electronic marijuana delivery devices used, [X / 50] to age [Y / 59 / current age]",SrvSAS_EMJDev5059_v1r0,ELMARLIFEF,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
