,Primary Source,,Secondary Source,,Source Question,,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,,,,Old Quest Value,,Connect Value,Required,PII,,Notes,,,,,,,Date added or modified,,,QuestID - radio button or multi-answer format questions questions.,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,"Are you currently using estrogen-only skin gel, cream, or spray-on medication?","Currently using estrogen-only skin gel, cream, or spray-on medication",SrvMRE_CurrEstGelUse_v1r0,ESTROHOR3_4,Num,2,,,,2=No,,0 = No,No,No,,Only display if ESTROHOR=3,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,"How old were you when you last used estrogen-only skin gel, cream, or spray-on medication?","Age estrogen-only skin gel, cream, or spray-on medication last use",SrvMRE_AgeEstGelUseL_v1r0,ESTROHOR4_4,Num,2,,,,N/A,,,No,No,,Only display if ESTROHOR=3,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used estrogen-only skin gel, cream, or spray-on medication?",,Months used,"Months use estrogen-only skin gel, cream, or spray-on medication",SrvMRE_EstGelMoUse_v1r0,ESTSKINMONTH,Num,3,,,,N/A,,N/A,No,No,,Only display if ESTROHOR=3,,,,,,,10/6/21,,,ESTROHOR5_4,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used estrogen-only skin gel, cream, or spray-on medication?",,Years used,"Years use estrogen-only skin gel, cream, or spray-on medication",SrvMRE_EstGelYrUse_v1r0,ESTSKINYEAR,Num,3,,,,N/A,,N/A,No,No,,Only display if ESTROHOR=3,,,,,,,10/6/21,,,ESTROHOR5_4,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used the other type of estrogen-only medication?,Age the other type of estrogen-only medication first use,SrvMRE_AgeOthEstUseF_v1r0,ESTROHOR2_5,Num,2,,,,N/A,,,No,No,,Only display if ESTROHOR=55,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Are you currently using the other type of estrogen-only medication?,Currently using the other type of estrogen-only medication,SrvMRE_CurrOtherEstUse_v1r0,ESTROHOR3_5,Num,2,,,,2=No,,0 = No,No,No,,Only display if ESTROHOR=55,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you last used the other type of estrogen-only medication?,Age the other type of estrogen-only medication last use,SrvMRE_AgeOthEstUseL_v1r0,ESTROHOR4_5,Num,2,,,,N/A,,,No,No,,Only display if ESTROHOR=55,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used the other type of estrogen-only medication?",,Months used,Months use the other type of estrogen-only medication,SrvMRE_OthEstMoUse_v1r0,ESTOTHERMONTH,Num,3,,,,N/A,,N/A,No,No,,Only display if ESTROHOR=55,,,,,,,10/6/21,,,ESTROHOR5_5,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used the other type of estrogen-only medication?",,Years used,Years use the other type of estrogen-only medication,SrvMRE_OthEstYrUse_v1r0,ESTOTHERYEAR,Num,3,,,,N/A,,N/A,No,No,,Only display if ESTROHOR=55,,,,,,,10/6/21,,,ESTROHOR5_5,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of progestin-only prescription hormones? Select all that apply.,,Oral progestin-only medication (such as Provera or Prometrium),Oral progestin-only medication (such as Provera or Prometrium),SrvMRE_OralProg_v1r0,0,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PROGHOR,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of progestin-only prescription hormones? Select all that apply.,,Other |__|,Other progestin/progesterone-only medication: please describe,SrvMRE_OtherProg_v1r0,55,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,10/8/21,,,PROGHOR,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of progestin-only prescription hormones? Select all that apply.,,Other progestin/progesterone-only medication: Please describe [text box],Other progestin/progesterone-only medication: please describe text box,SrvMRE_OtherProgDesc_v1r0,oralEst_OTHER,Char,300,,,,,,,No,No,,,,,,,,,10/8/21,,,PROGHOR,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of progestin-only prescription hormones? Select all that apply.,,None of the above,None of the above,SrvMRE_NoProgMed_v1r0,88,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,6/14/21,,,PROGHOR,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used oral progestin-only medication?,How old were you when you first used oral progestin-only medication?,SrvMRE_AgeProgUsedF_v1r0,PROGHOR2_1,Num,2,,,,N/A,,,No,No,,Only display if PROGHOR=0,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Are you currently using oral progestin-only medication?,Currently using oral progestin-only medication,SrvMRE_CurrProgMedUse_v1r0,PROGHOR3_1,Num,2,,,,2=No,,0 = No,No,No,,Only display if PROGHOR=0,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you last used oral progestin-only medication?,Age oral progestin-only medication last use,SrvMRE_AgeProgUsedL_v1r0,PROGHOR4_1,Num,2,,,,N/A,,,No,No,,Only display if PROGHOR=0,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used oral progestin-only medication?",,Months used,Months use oral progestin-only medication,SrvMRE_ProgUsedMo_v1r0,oralMedMonth,Num,3,,,,N/A,,N/A,No,No,,Only display if PROGHOR=0,,,,,,,10/6/21,,,PROGHOR5_1,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used oral progestin-only medication?",,Years used,Years use oral progestin-only medication,SrvMRE_ProgUsedYr_v1r0,oralMedYear,Num,3,,,,N/A,,N/A,No,No,,Only display if PROGHOR=0,,,,,,,10/6/21,,,PROGHOR5_1,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used other progestin-only medication?,How old were you when you first used other progestin-only medication?,SrvMRE_AgeOthProgF_v1r0,PROGHOR2_2,Num,2,,,,N/A,,,No,No,,Only display if PROGHOR=55,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Are you currently using progestin-only medication?,Currently using progestin-only medication,SrvMRE_CurrProgUse_v1r0,PROGHOR3_2,Num,2,,,,2=No,,0 = No,No,No,,Only display if PROGHOR=55,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you last used other progestin-only medication?,How old were you when you last used other progestin-only medication?,SrvMRE_AgeOthProgL_v1r0,PROGHOR4_2,Num,2,,,,N/A,,,No,No,,Only display if PROGHOR=55,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used other progestin-only medication?",,Months used,Months use progestin-only medication,SrvMRE_ProgUseMo_v1r0,proEstMonth,Num,3,,,,N/A,,N/A,No,No,,Only display if PROGHOR=55,,,,,,,10/6/21,,,PROGHOR5_2,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used other progestin-only medication?",,Years used,Years use progestin-only medication,SrvMRE_ProgUseYr_v1r0,proEstYear,Num,3,,,,N/A,,N/A,No,No,,Only display if PROGHOR=55,,,,,,,10/6/21,,,PROGHOR5_2,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How many days per cycle did you use this oral progestin-only hormone?,Days oral progestin-only cycle use,SrvMRE_ProgCycleDays_v1r0,PROGHOR6_1,Num,2,,,,1= Less than 10 days per month,,0 = Less than 10 days per month,No,No,,,,,,,,,11/15/21,,,,
,,,,,,,,,,,,,,,,2= 10 to 14 days per month,,1 = 10 to 14 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3= 15 to 19 days per month,,2 = 15 to 19 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4= 20 to 25 days per month,,3 = 20 to 25 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5= Every day,,4 = Every day,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How many days per cycle did you use this progestin-only hormone?,Days progestin-only cycle use,SrvMRE_ProgCycleDays2_v1r0,PROGHOR6_2,Num,2,,,,1= Less than 10 days per month,,0 = Less than 10 days per month,No,No,,,,,,,,,11/15/21,,,,
,,,,,,,,,,,,,,,,2= 10 to 14 days per month,,1 = 10 to 14 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3= 15 to 19 days per month,,2 = 15 to 19 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4= 20 to 25 days per month,,3 = 20 to 25 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5= Every day,,4 = Every day,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of combined estrogen plus progestin prescription hormones? Select all that apply.,,"Combined oral estrogen plus progestin pill (such as Prempro, Activella, Femhrt, or Prefest)","Combined oral estrogen plus progestin pill (such as Prempro, Activella, Femhrt, or Prefest)",SrvMRE_CombPill_v1r0,0,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,COMBHOR,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of combined estrogen plus progestin prescription hormones? Select all that apply.,,"Two separate pills, one estrogen and one progestin pill","Two separate pills, one estrogen and one progestin pill",SrvMRE_TwoSepPills_v1r0,1,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,COMBHOR,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of combined estrogen plus progestin prescription hormones? Select all that apply.,,Other |__|,"Any other type of combined estrogen plus progestin prescription hormones (such as the patch (Climara-Pro), other pills, or creams): Please describe",SrvMRE_AnyCombPill_v1r0,55,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,10/8/21,,,COMBHOR,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of combined estrogen plus progestin prescription hormones? Select all that apply.,,"Any other type of combined estrogen plus progestin prescription hormones (such as the patch (Climara-Pro), other pills, or creams): Please describe [text box]","Any other type of combined estrogen plus progestin prescription hormones (such as the patch (Climara-Pro), other pills, or creams): Please describe text box",SrvMRE_AnyCombPillDesc_v1r0,anyComEst_OTHER,Char,300,,,,,,,No,No,,,,,,,,,10/8/21,,,COMBHOR,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Have you ever taken any of these types of combined estrogen plus progestin prescription hormones? Select all that apply.,,None of the above,None of the above,SrvMRE_NoCombMed_v1r0,88,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,6/14/21,,,COMBHOR,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used combined oral estrogen plus progestin pill?,First used combined oral estrogen plus progestin pill,SrvMRE_CombPillAgeF_v1r0,COMBHOR2_1,Num,2,,,,N/A,,,No,No,,Only display if COMBHOR=0,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Are you currently using combined oral estrogen plus progestin pill?,Currently using oral progestin-only medication,SrvMRE_CurrProgMed_v1r0,COMBHOR3_1,Num,2,,,,2=No,,0 = No,No,No,,Only display if COMBHOR=0,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you last used combined oral estrogen plus progestin pill?,How old were you when you last used combined oral estrogen plus progestin pill?,SrVMRE_CombPillAgeL_v1r0,COMBHOR4_1,Num,2,,,,N/A,,,No,No,,Only display if COMBHOR=0,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used combined oral estrogen plus progestin pill?",,Months used,Months use combined oral estrogen plus progestin pill,SrvMRE_CombPillMoUse_v1r0,combinedMonth,Num,3,,,,N/A,,N/A,No,No,,Only display if COMBHOR=0,,,,,,,10/6/21,,,COMBHOR5_1,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used combined oral estrogen plus progestin pill?",,Years used,Years use combined oral estrogen plus progestin pill,SrvMRE_CombPillYrUse_v1r0,combinedYear,Num,3,,,,N/A,,N/A,No,No,,Only display if COMBHOR=0,,,,,,,10/6/21,,,COMBHOR5_1,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used two separate pills?,How old were you when you first used two separate pills?,SrvMRE_TwoSepPillAge_v1r0,COMBHOR2_2,Num,2,,,,N/A,,,No,No,,Only display if COMBHOR=1,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Are you currently using two separate pills?,Currently using oral progestin-only medication two pills,SrvMRE_CurrProgMeds_v1r0,COMBHOR3_2,Num,2,,,,2=No,,0 = No,No,No,,Only display if COMBHOR=1,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you last used two separate pills?,How old were you when you last used two separate pills?,SrvMRE_SepPillUseL_v1r0,COMBHOR4_2,Num,2,,,,N/A,,,No,No,,Only display if COMBHOR=1,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used two separate pills",,Months used,Months use two separate pills,SrvMRE_SepPillMoUse_v1r0,twoPillMonth,Num,3,,,,N/A,,N/A,No,No,,Only display if COMBHOR=1,,,,,,,10/6/21,,,COMBHOR5_2,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used two separate pills",,Years used,Years use two separate pills,SrvMRE_SepPillYrUse_v1r0,twoPillYear,Num,3,,,,N/A,,N/A,No,No,,Only display if COMBHOR=1,,,,,,,10/6/21,,,COMBHOR5_2,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used the other combined estrogen plus progestin prescription hormone?,How old were you when you first used the other combined estrogen plus progestin prescription hormone?,SrvMRE_OthCombAgeF_v1r0,COMBHOR2_3,Num,2,,,,N/A,,,No,No,,Only display if COMBHOR=55,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Are you currently using the other combined estrogen plus progestin prescription hormone?,Are you currently using the other combined estrogen plus progestin prescription hormone?,SrvMRE_OthCombPillCurr_v1r0,COMBHOR3_3,Num,2,,,,2=No,,0 = No,No,No,,Only display if COMBHOR=55,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you last used the other combined estrogen plus progestin prescription hormone?,How old were you when you last used the other combined estrogen plus progestin prescription hormone?,SrvMRE_OthCombAgeL_v1r0,COMBHOR4_3,Num,2,,,,N/A,,,No,No,,Only display if COMBHOR=55,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used other combined estrogen plus progestin prescription hormone",,Months used,Months use the other combined estrogen plus progestin prescription hormone,SrvMRE_OthCombPillMo_v1r0,anyComEstMonth,Num,3,,,,N/A,,N/A,No,No,,Only display if COMBHOR=55,,,,,,,10/6/21,,,COMBHOR5_3,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used other combined estrogen plus progestin prescription hormone",,Years used,Years use the other combined estrogen plus progestin prescription hormone,SrvMRE_OthCombPillYr_v1r0,anyComEstYear,Num,3,,,,N/A,,N/A,No,No,,Only display if COMBHOR=55,,,,,,,10/6/21,,,COMBHOR5_3,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How many days per cycle did you use a combined oral estrogen plus progestin pill?,How many days per cycle did you use a combined oral estrogen plus progestin pill?,SrvMRE_CombPillCyc_v1r0,COMBHOR6,Num,2,,,,1= Less than 10 days per month,,0 = Less than 10 days per month,No,No,,,,,,,,,11/15/21,,,,
,,,,,,,,,,,,,,,,2= 00 to 14 days per month,,1 = 10 to 14 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3= 05 to 19 days per month,,2 = 15 to 19 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4= 10 to 25 days per month,,3 = 20 to 25 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5= Every day,,4 = Every day,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,"How many days per cycle did you use two separate pills, one estrogen and one progestin?","How many days per cycle did you use two separate pills, one estrogen and one progestin?",SrvMRE_SepPillCycle_v1r0,SEPHOR,Num,2,,,,1= Less than 10 days per month,,0 = Less than 10 days per month,No,No,,,,,,,,,11/15/21,,,,
,,,,,,,,,,,,,,,,2= 00 to 14 days per month,,1 = 10 to 14 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3= 05 to 19 days per month,,2 = 15 to 19 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4= 10 to 25 days per month,,3 = 20 to 25 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5= Every day,,4 = Every day,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How many days per cycle did you use this other type of combined estrogen plus progestin prescription hormones?,How many days per cycle did you use this other type of combined estrogen plus progestin prescription hormones?,SrvMRE_SepPillCycle2_v1r0,SEPHOR2,Num,2,,,,1= Less than 10 days per month,,0 = Less than 10 days per month,No,No,,,,,,,,,11/15/21,,,,
,,,,,,,,,,,,,,,,2= 00 to 14 days per month,,1 = 10 to 14 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3= 05 to 19 days per month,,2 = 15 to 19 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4= 10 to 25 days per month,,3 = 20 to 25 days per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5= Every day,,4 = Every day,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,"Have you ever used testosterone therapy (e.g., Depo-Testosterone, Androgel, Testim, Fortesta, Axiron, Androderm, Striant)?","Have you ever used testosterone therapy (e.g., Depo-Testosterone, Androgel, Testim, Fortesta, Axiron, Androderm, Striant)?",SrvMRE_TestosTherapy_v1r0,TESTTHER,Num,2,,,,1=No,,0 = No,No,No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Which forms of testosterone medication(s) have you taken? Select all that apply.,,Gel/cream,Gel/cream,SrvMRE_TTGel_v1r0,0,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,TESTTHER2,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Which forms of testosterone medication(s) have you taken? Select all that apply.,,Injection,Injection,SrvMRE_TTInjection_v1r0,1,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,TESTTHER2,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Which forms of testosterone medication(s) have you taken? Select all that apply.,,Skin patch,Skin patch,SrvMRE_TTSkinPatch_v1r0,2,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,TESTTHER2,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Which forms of testosterone medication(s) have you taken? Select all that apply.,,Pills,Pills,SrvMRE_TTPills_v1r0,3,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,TESTTHER2,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Which forms of testosterone medication(s) have you taken? Select all that apply.,,Gum or inner cheek patch,Gum or inner cheek patch,SrvMRE_TTGumPatch_v1r0,4,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,TESTTHER2,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Which forms of testosterone medication(s) have you taken? Select all that apply.,,Slow release implant (testosterone pellets),Slow release implant (testosterone pellets),SrvMRE_TTTestosPellets_v1r0,5,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,TESTTHER2,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used testosterone therapy?,How old were you when you first used testosterone therapy?,SrvMRE_TTAgeF_v1r0,TESTTHER3,Num,2,,,,N/A,,,No,No,,,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,"How often did you use testosterone therapy? If you currently use testosterone therapy, how often do you use it?",How often did you or do you currently use testosterone therapy?,SrvMRE_TTOften_v1r0,TESTTHER4,Num,2,,,,1= Multiple times a day,,0=Multiple times per day,No,No,,,,,,,,,11/15/21,,,,
,,,,,,,,,,,,,,,,2= Daily,,1=Daily,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3= Every few days,,2=Every few days,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4= Once a week,,3 = Once per week,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5= Few times a month,,4 = Few times per month,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6= Rarely,,5 = Rarely,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,"How old were you when you last used testosterone therapy? If you are currently using testosterone therapy, please enter your current age.",How old were you when you last used testosterone therapy?,SrvMRE_TTAgeL_v1r0,TESTTHER5,Num,2,,,,N/A,,,No,No,,,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Have you ever taken any other type of prescription hormones?,Have you ever taken any other type of prescription hormones?,SrvMRE_OthPresHorm_v1r0,PRESHOR,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,What other type of prescription hormones did you take?,What other type of prescription hormones did you take?,SrvMRE_OthPresHormDesc_v1r0,PRESHOR2,Char,300,,,,N/A,,,No,No,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you first used the other type of prescription hormone?,How old were you when you first used the other type of prescription hormone?,SrvMRE_OthHormAgeF_v1r0,PRESHOR3,Num,2,,,,N/A,,,No,No,,,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,Are you currently using the other type of prescription hormone?,Are you currently using the the other type of prescription hormone?,SrvMRE_OthHormCurr_v1r0,PRESHOR4,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,,,How old were you when you last used the other type of prescription hormone?,How old were you when you last used the other type of prescription hormone?,SrvMRE_OthHormAgeL_v1r0,PRESHOR5,Num,2,,,,N/A,,,No,No,,,,,,,,,10/6/21,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used the other type of prescription hormone?",,Months used,Months use the other type of prescription hormone,SrvMRE_OthHormMoUse_v1r0,preshor2Month,Num,3,,,,N/A,,N/A,No,No,,Only display if PRESHOR=1,,,,,,,10/15/21,,,PRESHOR6,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"In total, how many months or years have you used the other type of prescription hormone?",,Years used,Years use the other type of prescription hormone,SrvMRE_OthHormYrUse_v1r0,preshor2Year,Num,3,,,,N/A,,N/A,No,No,,Only display if PRESHOR=1,,,,,,,10/15/21,,,PRESHOR6,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Typical time spent per WORKDAY,,"Sitting with small arm movements (for example, desk or computer work, light assembly, driving, etc.)","Sitting with small arm movements (for example, desk or computer work, light assembly, driving, etc.)",SrvMRE_SmallArmMove_v1r0,WORKACTA,Num,2,,,,1 = None,,0 = None,No,No,,Grid Question,,,,,,,11/16/21,,,GRID_WORKACT,
,,,,,,,,,,,,,,,,2 = Less than 30 min,,1 = Less than 30 minutes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3 = 30 min,,2 = 30 minutes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4 = 45 min,,3 = 45 minutes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5 = 1 hr,,4 = 1 hour,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6 = 1 to 2.9 hrs,,5 = 1 to 3  hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7= 3 to 4.9 hrs,,6 = 3 to 5 hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8=5 to 6.9 hrs.,,7 = 5 to 7 hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9=7 to 8.9 hrs.,,8 = 7 to 9 hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10= 9 hrs. or more,,9 = 9 hours or more,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Typical time spent per WORKDAY,,"Standing with some walking (for example, as a store clerk, filing, making copies, walking to/from meetings, working on an assembly line, etc.)","Standing with some walking (for example, as a store clerk, filing, making copies, walking to/from meetings, working on an assembly line, etc.)",SrvMRE_LightWalking_v1r0,WORKACTB,Num,2,,,,1 = None,,0 = None,No,No,,Grid Question,,,,,,,11/16/21,,,GRID_WORKACT,
,,,,,,,,,,,,,,,,2 = Less than 30 min,,1 = Less than 30 minutes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3 = 30 min,,2 = 30 minutes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4 = 45 min,,3 = 45 minutes,,,,,,,,,,,,,,,
