Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
3175,3175,129084651,Survey,726699695,Background and Overall Health,514034680,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had Uterine (endometrial) cancer?,,SIBCANC3W,Revised,2/1/24,261863326,Year at diagnosis,,,Sib 1 Uterine Cx Yr,SrvBOH_S1UterinCancYr_v1r1,SIBCANC3W_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 22. Range check min=1800 max=#currentYear (Minval previously was minval=difference(difference(#currentYear,isDefined(D_478706011,isDefined(D_338020179,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3176,3176,129084651,Survey,726699695,Background and Overall Health,247160067,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had response from SIBCANC2/another type of cancer?,,SIBCANC3X,,,206625031,Age at diagnosis,,,Sib 1 SIB1CANC2/Oth Cx Response Age,SrvBOH_S1OtherCancAge_v1r0,SIBCANC3X_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 55. Range check min=0 max=valueOrDefault(""D_478706011"",""D_338020179"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check to Notes.
3177,3177,129084651,Survey,726699695,Background and Overall Health,247160067,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had response from SIBCANC2/another type of cancer?,,SIBCANC3X,Revised,2/1/24,261863326,Year at diagnosis,,,Sib 1 SIB1CANC2/Oth Cx Response Yr,SrvBOH_S1OtherCancYr_v1r1,SIBCANC3X_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 55. Range check min=1800 max=#currentYear (Minval previously was minval=difference(difference(#currentYear,isDefined(D_478706011,isDefined(D_338020179,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3178,3178,129084651,Survey,726699695,Background and Overall Health,312545873,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had cancer?,,SIBCANC3Y,,,206625031,Age at diagnosis,,,Sib 1 Cx Age,SrvBOH_S1CancerAge_v1r0,SIBCANC3Y_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 77. Range check min=0 max=valueOrDefault(""D_478706011"",""D_338020179"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check to Notes.
3179,3179,129084651,Survey,726699695,Background and Overall Health,312545873,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had cancer?,,SIBCANC3Y,Revised,2/1/24,261863326,Year at diagnosis,,,Sib 1 Cx Yr,SrvBOH_S1CancerYear_v1r1,SIBCANC3Y_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 77. Range check min=1800 max=#currentYear (Minval previously was minval=difference(difference(#currentYear,isDefined(D_478706011,isDefined(D_338020179,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3180,3180,129084651,Survey,726699695,Background and Overall Health,,,,,,,446999144,How many children do you have?,,,Num Children,SrvBOH_ChildNum_v1r0,CHILD1,Num,2,,N/A,,Yes,Yes,Range check min=0 max=25,,,,,8/28/23,,Text only Response,Added range check to Notes.
3181,3181,129084651,Survey,726699695,Background and Overall Health,,,,,,,714001034,"Child 1-For your [oldest/next oldest] sibling, please create a nickname or share initials that we can use to refer to this sibling again in future surveys.",,,Child 1 Name,SrvBOH_Child1Name_v1r0,CHILDNAME,Char,300,,N/A,,No,No,,,,,,,,"Text only Response, Loops"
3182,3182,129084651,Survey,726699695,Background and Overall Health,,,,,,,887697329,"Child 1-Thinking of [child initials or nickname/your [oldest/next oldest]child], what biological sex was this child assigned at birth?",,,Child 1 Sex at Birth,SrvBOH_Child1Sex_v1r0,CHILD2,Num,2,536341288,0 = Female,,No,No,,,,,,12/21/21,,"Optional Multiple Choice, Loops"
3183,3183,,,,,,,,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,
3184,3184,,,,,,,,,,,,,,,,,,,,576796184,2 = Intersex or other,,,,,,,,,,,,
3185,3185,,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,,,,
3186,3186,129084651,Survey,726699695,Background and Overall Health,,,,,,,473529484,"Was this child born a twin, triplet, or other multiple?",,,Child 1 Twin/Mult,SrvBOH_Child1Mult_v1r0,CHILDMULT,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Multiple Choice, Loops"
3187,3187,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3188,3188,129084651,Survey,726699695,Background and Overall Health,,,,,,,873968217,Child 1- Is [child initials or nickname/your child],,,Child 1 Full/Half,SrvBOH_Child1FullHalf_v1r1,CHILD3,Num,2,709650750,0 = Your biological child,,No,No,,,,,,1/26/24,,"Optional Multiple Choice, Loops","Removed Keep from Deprecated, New, or Revised Column and removed prod push date."
3189,3189,,,,,,,,,,,,,,,,,,,,810290359,1 = Adopted,,,,,,,,,1/26/24,,,"Removed Keep from Deprecated, New, or Revised Column."
3190,3190,,,,,,,,,,,,,,,,,,,,509607548,2 = A step child,,,,,,,,,1/26/24,,,"Removed Keep from Deprecated, New, or Revised Column."
3191,3191,,,,,,,,,New,,,,,,,,,,,784922042,3 = Related to me in some other way,,,,,,,,,12/12/22,,,Added a 4th option
3192,3192,129084651,Survey,726699695,Background and Overall Health,,,,,,,418392907,Child 1- Is [CHILD INITIALS OR NICKNAME/your CHILD] still living?,,,Child 1 Living,SrvBOH_Child1Living_v1r0,CHILD4,Num,2,104430631,0=No,,No,No,,,,,,,,"Optional Multiple Choice, Loops"
3193,3193,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3194,3194,,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,6/24/21,,,
3195,3195,129084651,Survey,726699695,Background and Overall Health,640010727,Child 1- How old is [CHILD INITIALS OR NICKNAME/your CHILD] today?,,CHILDAGE,,,299300933,"Child 1- How old is [CHILD INITIALS OR NICKNAME/your CHILD] today?, Number",,,"Child 1 Age, Num",SrvBOH_Child1Age_v1r0,CHILDAGE_AGE,Num,2,,N/A,,No,No,Range check min=1 max=125,,,,,8/28/23,,"Text Box Plus Check Box, Loops",Added range check to Notes
3196,3196,129084651,Survey,726699695,Background and Overall Health,640010727,Child 1- How old is [CHILD INITIALS OR NICKNAME/your CHILD] today?,,CHILDAGE,,,640010727,Child 1- How old is [CHILD INITIALS OR NICKNAME/your CHILD] today?,,,"Child 1 Age, Oth",SrvBOH_Child1AgeOther_v1r0,CHILDAGE,Num,2,958239616,0 = Less than 1 year,,No,No,,,,,,8/23/21,,"Text Box Plus Check Box, Loops"
3197,3197,,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,,,,
3198,3198,129084651,Survey,726699695,Background and Overall Health,236590500,Child 1- How old was [CHILD INITIALS OR NICKNAME/your CHILD] when they died?,,CHILDDEATH,,,182786508,"Child 1- How old was [CHILD INITIALS OR NICKNAME/your CHILD] when they died?, Number",,,"Child 1 Age at Death, Num",SrvBOH_Child1DeathAge_v1r0,CHILDDEATH_num,Num,2,,,,No,No,Range check min=1 max=125,,,,,8/28/23,,"Text Box Plus Check Box, Loops",Added range check to Notes
3199,3199,129084651,Survey,726699695,Background and Overall Health,236590500,Child 1- How old was [CHILD INITIALS OR NICKNAME/your CHILD] when they died?,,CHILDDEATH,,,236590500,Child 1- How old was [CHILD INITIALS OR NICKNAME/your CHILD] when they died?,,,"Child 1 Age at Death, Oth",SrvBOH_Chi1DeathAgeOther_v1r0,CHILDDEATH,Num,2,958239616,0 = Less than 1 year,,No,No,,,,,,8/23/21,,"Text Box Plus Check Box, Loops"
3200,3200,,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,,,,
3201,3201,129084651,Survey,726699695,Background and Overall Health,,,,,,,718867914,"Child 1- [If CHILD4=01] Has a doctor or other health professional ever told [child initials or nickname/your child] that they have or had any type of cancer? [If CHILD4=00, 77, NON-RESPONSE] Did a doctor or other health professional ever tell [child initials or nickname/your child] that they had any type of cancer?",,,Child 1 Cx,SrvBOH_Child1Cancer_v1r0,CHILDCANC,Num,2,104430631,0=No,,No,No,,,,,,,,"Optional Multiple Choice, Loops"
3202,3202,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3203,3203,,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,6/24/21,,,
3204,3204,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,939782495,Anal,,,Anal,SrvBOH_C1AnalCanc_v1r0,0,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3205,3205,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3206,3206,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,135725957,Bladder,,,Bladder,SrvBOH_C1BladderCanc_v1r0,1,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3207,3207,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3208,3208,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,518416174,Brain,,,Brain,SrvBOH_C1BrainCanc_v1r0,2,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3209,3209,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3210,3210,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,847945207,Breast,,,Breast,SrvBOH_C1BreastCanc_v1r0,3,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3211,3211,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3212,3212,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,283025574,Cervical,,,Cervical,SrvBOH_C1CervicalCanc_v1r0,4,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3213,3213,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3214,3214,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,942970912,Colon/rectal,,,Colon/Rectal,SrvBOH_C1ColonCanc_v1r0,5,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3215,3215,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3216,3216,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,596122041,Esophageal,,,Esophageal,SrvBOH_C1EsophagCanc_v1r0,6,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3217,3217,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3218,3218,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,489400183,"Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.)",,,Head/Neck,SrvBOH_C1HNCancer_v1r0,7,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3219,3219,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3220,3220,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,863246236,Kidney,,,Kidney,SrvBOH_C1KidneyCanc_v1r0,8,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3221,3221,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3222,3222,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,607793249,Leukemia (blood and bone marrow),,,Leukemia,SrvBOH_C1Leukemia_v1r0,9,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3223,3223,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3224,3224,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,532172400,Liver,,,Liver,SrvBOH_C1LiverCanc_v1r0,10,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3225,3225,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3226,3226,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,754745617,Lung or bronchial,,,Lung/Bronch,SrvBOH_C1LungCanc_v1r0,11,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3227,3227,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3228,3228,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,665036297,Non-Hodgkin's lymphoma,,,Non-Hodgkin's Lymphoma,SrvBOH_C1NHLympoma_v1r0,12,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3229,3229,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3230,3230,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,200837530,Lymphoma,,,Lymphoma,SrvBOH_C1Lymphoma_v1r0,13,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3231,3231,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3232,3232,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,990319383,Melanoma (skin),,,Melanoma,SrvBOH_C1Melanoma_v1r0,14,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3233,3233,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3234,3234,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,487917585,Non-melanoma skin (basal or squamous),,,Non-melanoma Skin,SrvBOH_C1NMSkinCanc_v1r0,15,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3235,3235,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3236,3236,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,603181162,Ovarian,,,Ovarian,SrvBOH_C1OvarianCanc_v1r0,16,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3237,3237,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3238,3238,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,482225200,Pancreatic,,,Pancreatic,SrvBOH_C1PancreatCanc_v1r0,17,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3239,3239,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3240,3240,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,295976386,Prostate,,,Prostate,SrvBOH_C1ProstateCanc_v1r0,18,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3241,3241,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3242,3242,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,764891959,Stomach,,,Stomach,SrvBOH_C1StomachCanc_v1r0,19,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3243,3243,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3244,3244,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,248374037,Testicular,,,Testicular,SrvBOH_C1TesticCanc_v1r0,20,Num,1,104430631,0=No,,No,No,,,,,,6/24/21,,"Optional Select All that Apply, Loops"
3245,3245,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3246,3246,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,139822395,Thyroid,,,Thyroid,SrvBOH_C1ThyroidCanc_v1r0,21,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3247,3247,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3248,3248,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,723614811,Uterine (endometrial),,,Uterine,SrvBOH_C1UterineCanc_v1r0,22,Num,1,104430631,0=No,,No,No,,,,,,,,"Optional Select All that Apply, Loops"
3249,3249,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3250,3250,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,807835037,Other |__|,,,Oth Cx,SrvBOH_C1OtherCancer_v1r0,55,Num,1,104430631,0=No,,No,No,,,,,,9/23/21,,"Optional Select All that Apply, Loops"
3251,3251,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3252,3252,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,933110091,Child - another type of cancer: Please describe [text box],,,Oth Cx - Free Text,SrvBOH_C1OtherCancDesc_v1r0,CHILDCANC2_TB,Char,300,,N/A,,No,No,,,,,,8/9/21,,"Optional Select All that Apply, Loops"
3253,3253,129084651,Survey,726699695,Background and Overall Health,812370563,Child 1- Which type(s) of cancer? Select all that apply.,,CHILDCANC2,,,178420302,Unavailable/Unknown,,,"Child Had Cx, Don't Know Type",SrvBOH_C1CancerUnk_v1r0,77,Num,1,104430631,0=No,,No,No,,,,,,9/23/21,,"Optional Select All that Apply, Loops"
3254,3254,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
3255,3255,129084651,Survey,726699695,Background and Overall Health,900939817,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had anal cancer?,,CHILDCANC3A,,,206625031,Age at diagnosis,,,Child 1 Anal Cx Age,SrvBOH_C1AnalCancAge_v1r0,CHILDCANC3A_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 0. Range check min=0 max=valueOrDefault(""D_299300933"",""D_182786508"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check Notes
3256,3256,129084651,Survey,726699695,Background and Overall Health,900939817,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had anal cancer?,,CHILDCANC3A,Revised,2/1/24,261863326,Year at diagnosis,,,Child 1 Anal Cx Yr,SrvBOH_C1AnalCancYr_v1r1,CHILDCANC3A_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 0. Range check min=1800 max=#currentYear (Min previously was: minval=difference(difference(#currentYear,isDefined(D_299300933,isDefined(D_182786508,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3257,3257,129084651,Survey,726699695,Background and Overall Health,938150507,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had bladder cancer?,,CHILDCANC3B,,,206625031,Age at diagnosis,,,Child 1 Bladder Cx Age,SrvBOH_C1BlCancAge_v1r0,CHILDCANC3B_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 1. Range check min=0 max=valueOrDefault(""D_299300933"",""D_182786508"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check to Notes.
3258,3258,129084651,Survey,726699695,Background and Overall Health,938150507,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had bladder cancer?,,CHILDCANC3B,Revised,2/1/24,261863326,Year at diagnosis,,,Child 1 Bladder Cx Yr,SrvBOH_C1BlCancYr_v1r1,CHILDCANC3B_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 1. Range check  min=1800 max=#currentYear (Min previously was: minval=difference(difference(#currentYear,isDefined(D_299300933,isDefined(D_182786508,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3259,3259,129084651,Survey,726699695,Background and Overall Health,601211723,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had brain cancer?,,CHILDCANC3C,,,206625031,Age at diagnosis,,,Child 1 Brain Cx Age,SrvBOH_C1BraCancAge_v1r0,CHILDCANC3C_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 2. Range check min=0 max=valueOrDefault(""D_299300933"",""D_182786508"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check to Notes.
3260,3260,129084651,Survey,726699695,Background and Overall Health,601211723,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had brain cancer?,,CHILDCANC3C,Revised,2/1/24,261863326,Year at diagnosis,,,Child 1 Brain Cx Yr,SrvBOH_C1BraCancYr_v1r1,CHILDCANC3C_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 2. Range check  min=1800 max=#currentYear (Min previously was: minval=difference(difference(#currentYear,isDefined(D_299300933,isDefined(D_182786508,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3261,3261,129084651,Survey,726699695,Background and Overall Health,861788020,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had breast cancer?,,CHILDCANC3D,,,206625031,Age at diagnosis,,,Child 1 Breast Cx Age,SrvBOH_C1BreCancAge_v1r0,CHILDCANC3D_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 3. Range check min=0 max=valueOrDefault(""D_299300933"",""D_182786508"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check to Notes.
3262,3262,129084651,Survey,726699695,Background and Overall Health,861788020,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had breast cancer?,,CHILDCANC3D,Revised,2/1/24,261863326,Year at diagnosis,,,Child 1 Breast Cx Yr,SrvBOH_C1BreCancYr_v1r1,CHILDCANC3D_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 3. Range check  min=1800 max=#currentYear (Min previously was: minval=difference(difference(#currentYear,isDefined(D_299300933,isDefined(D_182786508,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3263,3263,129084651,Survey,726699695,Background and Overall Health,204425387,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had cervical cancer?,,CHILDCANC3E,,,206625031,Age at diagnosis,,,Child 1 Cervical Cx Age,SrvBOH_C1CervCancAge_v1r0,CHILDCANC3E_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 4. Range check min=0 max=valueOrDefault(""D_299300933"",""D_182786508"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check to Notes.
3264,3264,129084651,Survey,726699695,Background and Overall Health,204425387,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had cervical cancer?,,CHILDCANC3E,Revised,2/1/24,261863326,Year at diagnosis,,,Child 1 Cervical Cx Yr,SrvBOH_C1CervCancYr_v1r1,CHILDCANC3E_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 4. Range check  min=1800 max=#currentYear (Min previously was: minval=difference(difference(#currentYear,isDefined(D_299300933,isDefined(D_182786508,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
3265,3265,129084651,Survey,726699695,Background and Overall Health,558929585,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had colon/rectal cancer?,,CHILDCANC3F,,,206625031,Age at diagnosis,,,Child 1 Colon/Rectal Cx Age,SrvBOH_C1ColCancAge_v1r0,CHILDCANC3F_AGE,Num,2,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 5. Range check min=0 max=valueOrDefault(""D_299300933"",""D_182786508"",125)",,,,,8/28/23,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added range check to Notes.
3266,3266,129084651,Survey,726699695,Background and Overall Health,558929585,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had colon/rectal cancer?,,CHILDCANC3F,Revised,2/1/24,261863326,Year at diagnosis,,,Child 1 Colon/Rectal Cx Yr,SrvBOH_C1ColCancYr_v1r1,CHILDCANC3F_YEAR,Year,4,,N/A,,No,No,"Connect Format/Values - Only display if SIBCANC2= 5. Range check  min=1800 max=#currentYear (Min previously was: minval=difference(difference(#currentYear,isDefined(D_299300933,isDefined(D_182786508,125))),1))",,,,,2/28/24,,"Or (xor=) Question (either/or text boxes without radio button), Loops",Added Prod push date
